material,angle_deg,window,mask,frequency_per_cm_inv,q_axis_um,amplitude
SiC,10,W1,raw,0.0020001803830790536,10.000901915395268,14826.182541505506
SiC,10,W1,raw,0.0030002705746185803,15.001352873092902,10768.1524897636
SiC,10,W1,raw,0.004000360766158107,20.001803830790536,7182.591185469427
SiC,10,W1,raw,0.005000450957697634,25.00225478848817,4043.2172937795567
SiC,10,W1,raw,0.006000541149237161,30.002705746185804,3408.9392885512643
SiC,10,W1,raw,0.0070006313407766875,35.003156703883434,3876.656203708682
SiC,10,W1,raw,0.008000721532316214,40.00360766158107,3474.3972639955746
SiC,10,W1,raw,0.00900081172385574,45.0040586192787,2522.275760355564
SiC,10,W1,raw,0.010000901915395268,50.00450957697634,1605.4580477407906
SiC,10,W1,raw,0.011000992106934795,55.00496053467398,1192.3532740883306
SiC,10,W1,raw,0.012001082298474321,60.00541149237161,1255.9325272737426
SiC,10,W1,raw,0.013001172490013847,65.00586245006923,1452.947679735993
SiC,10,W1,raw,0.014001262681553375,70.00631340776687,1540.5565241717234
SiC,10,W1,raw,0.015001352873092903,75.00676436546452,1404.245425184463
SiC,10,W1,raw,0.01600144306463243,80.00721532316214,1133.4966207801479
SiC,10,W1,raw,0.017001533256171954,85.00766628085977,974.4405119485162
SiC,10,W1,raw,0.01800162344771148,90.0081172385574,1007.8674923045485
SiC,10,W1,raw,0.01900171363925101,95.00856819625506,1037.8854650234184
SiC,10,W1,raw,0.020001803830790536,100.00901915395268,943.0078626386539
SiC,10,W1,raw,0.02100189402233006,105.0094701116503,761.5792095448476
SiC,10,W1,raw,0.02200198421386959,110.00992106934795,599.5552491251526
SiC,10,W1,raw,0.023002074405409117,115.01037202704559,532.6322667262742
SiC,10,W1,raw,0.024002164596948643,120.01082298474321,550.3314626301916
SiC,10,W1,raw,0.02500225478848817,125.01127394244084,569.9269831409358
SiC,10,W1,raw,0.026002344980027695,130.01172490013846,531.3033469088178
SiC,10,W1,raw,0.027002435171567224,135.01217585783613,440.9068841063938
SiC,10,W1,raw,0.02800252536310675,140.01262681553374,360.55662332623206
SiC,10,W1,raw,0.029002615554646276,145.01307777323137,364.69787709216905
SiC,10,W1,raw,0.030002705746185805,150.01352873092904,417.9809979350858
SiC,10,W1,raw,0.03100279593772533,155.01397968862665,441.7369005470685
SiC,10,W1,raw,0.03200288612926486,160.01443064632429,412.87209075846283
SiC,10,W1,raw,0.033002976320804386,165.01488160402192,357.350265758907
SiC,10,W1,raw,0.03400306651234391,170.01533256171953,323.09936691391925
SiC,10,W1,raw,0.03500315670388344,175.0157835194172,334.6285424570961
SiC,10,W1,raw,0.03600324689542296,180.0162344771148,368.8395350978298
SiC,10,W1,raw,0.03700333708696249,185.01668543481244,380.0641386921478
SiC,10,W1,raw,0.03800342727850202,190.0171363925101,354.1578317001366
SiC,10,W1,raw,0.03900351747004154,195.01758735020772,306.27904065217587
SiC,10,W1,raw,0.04000360766158107,200.01803830790536,288.9976925266073
