id,family,split,h,hm,pref,expo
S000,Q3-fixed,train,1.06529312469349,0.9701323498720558,1.012495482533927,1.030809074368771
S001,Q4-moving,train,1.0911332695878417,1.0204105336155842,1.0513192835019276,0.9801998663639505
S002,Q3-fixed,train,0.9217341377165804,0.8246759072078444,1.0640853538815482,1.0106667036354418
S003,Q4-moving,train,0.9845958357919131,0.9879332881578083,1.073882021269991,0.9856005969334635
S004,Q3-fixed,train,1.1511135127624137,1.07941929276747,0.9004069403792935,0.9774454651654714
S005,Q4-moving,train,1.1559504742486344,1.1180446197911715,0.9360862270020461,0.9809963985498712
S006,Q3-fixed,train,1.1724390226858916,0.9380289893882248,0.9496713486049932,0.9906754453136098
S007,Q4-moving,train,0.9320817687397384,1.1481043405728195,1.0316896483385145,1.01163172844953
S008,Q3-fixed,train,1.0125196821560838,1.1586207870246856,1.0573296479933578,1.014396425004092
S009,Q4-moving,train,0.9911042605084794,0.8354353846799802,1.0868900758597517,0.9907506428345794
S010,Q3-fixed,train,0.8102153833689331,1.0252992817111617,1.0547099730527676,1.0482530486580521
S011,Q4-moving,train,0.8617385010419049,1.0737927562685163,1.070085926953191,1.026991843817775
S012,Q3-fixed,train,0.9452896251796209,1.0731185699931485,1.0463382022767467,0.9636768940713232
S013,Q4-moving,train,1.1497478156007572,1.152446124790413,1.0959372153428686,0.9616101874126954
S014,Q3-fixed,train,0.9095556905270752,1.0072549666183555,1.047836207287137,1.0063619136445114
S015,Q4-moving,train,0.8169954327529434,1.0424685132171805,1.0478482723074705,0.9827103899114725
S016,Q3-fixed,train,1.0277851523210815,0.9998153561809453,1.0816250801989593,1.0011791973028485
S017,Q4-moving,train,1.144813471919914,0.8028942392363889,1.0109007282752627,1.0000625524094091
S018,Q3-fixed,train,1.187742281997233,0.9320853107052934,0.9266439574543784,0.9587124470921518
S019,Q4-moving,train,1.0454859496543831,1.0706851865154405,0.9095141172839516,1.0296334015489357
S020,Q3-fixed,train,0.8597549970287277,0.824953150963362,0.9128244602847052,1.038822960241102
S021,Q4-moving,train,1.1545149826852956,1.0753979483856713,1.0929870019395564,0.9692385526248457
S022,Q3-fixed,train,0.8379217962770427,0.8242408152855973,0.9247437973472773,0.9824861124639105
S023,Q4-moving,train,0.838142988806818,1.0971884887817487,0.9825924978692196,1.043033275719549
S024,Q3-fixed,train,0.9594395221679101,1.1299158448846034,1.0999748947782568,1.000300556825851
S025,Q4-moving,train,0.9900729023431275,1.003001874765676,0.9092693893313378,0.9648488725374621
S026,Q3-fixed,train,0.9450935347805909,1.161483620180062,1.0969766362970874,0.9689350798315328
S027,Q4-moving,train,0.8878944183503442,0.9930635966618331,0.9152123733372786,1.0024536567703302
S028,Q3-fixed,train,1.1003046321261898,1.071572744346835,1.045083477964011,1.010960571897322
S029,Q4-moving,train,0.80387873627616,1.042657317366865,0.9546335749652458,1.0423198571765533
S030,Q3-fixed,train,0.8017505805571863,0.9881393197037092,0.9696061674626619,1.043383891556878
S031,Q4-moving,train,1.1033000513027127,0.8371973582901387,0.9558168155712359,0.9862854992316425
S032,Q3-fixed,train,0.8040488730571724,1.1175818582651071,1.0875878254779217,1.0411582391416627
S033,Q4-moving,train,1.0112163543489758,1.0894682346480253,0.9371197299579577,0.9509458462949822
S034,Q3-fixed,train,1.1693987073914724,0.9676173434740396,0.9024628624695012,1.0269001921561005
S035,Q4-moving,train,0.9369851420290661,0.9314941047598566,1.079450445466109,1.0070696384625273
S036,Q3-fixed,train,0.8315251311717392,1.0916747206329582,0.9465216639976731,1.0467074163376964
S037,Q4-moving,train,1.1242211183132973,0.8269490803776078,0.9893525497872919,0.9898085615301597
S038,Q3-fixed,train,1.0050024935491544,1.0517267777323203,1.021254587180149,0.9899937671650955
S039,Q4-moving,train,0.9411849677156812,1.1725484971350093,1.0492930040844564,0.9984914748942818
S040,Q3-fixed,train,1.0262296742802985,0.8690107541945072,0.9521860628395303,1.0330073974359304
S041,Q4-moving,train,1.1471086654271838,0.8369624622526639,0.9181466229997305,1.002670489123678
S042,Q3-fixed,train,1.1355608407789697,1.1132304799909747,0.9837974079569236,0.9817967641511229
S043,Q4-moving,train,1.0389984520823858,1.1816620815543464,1.0206087373771182,0.97567002648737
S044,Q3-fixed,train,1.1127878197004577,0.8412535013833163,0.9296068031588335,0.9710564494947752
S045,Q4-moving,train,0.9136641898729347,0.8208217867746779,0.9406272692477804,0.95905924508011
S046,Q3-fixed,train,0.8056987236413604,1.0369924566843742,1.0108018578213513,1.0103364260960614
S047,Q4-moving,train,0.8413908663010019,1.070355659986864,1.0568955928050818,1.0335190275287454
S048,Q3-fixed,train,1.0801192719868453,0.807720872303637,0.9158873503601663,1.0480618666815609
S049,Q4-moving,train,1.19988548220437,1.1672860137832994,0.9591574426027137,0.9747258239258152
S050,Q3-fixed,train,0.825737528751145,0.8544242711673191,0.9559684471510224,0.9739637993252273
S051,Q4-moving,train,0.9020345636570791,1.044768405743985,0.9592910707942707,0.9617680115311664
S052,Q3-fixed,train,1.0012376142506303,1.1234158304565631,0.9933077584222842,1.0482044433618158
S053,Q4-moving,train,1.0186643636320116,0.9489969678111849,0.9943516358563146,0.9746504219257046
S054,Q3-fixed,train,0.8619163206201989,1.0194559229514033,1.0623905281904698,1.0159294218945767
S055,Q4-moving,train,1.0512456185782142,0.921159897922428,0.9027012595320147,1.028188122691706
S056,Q3-fixed,train,1.175195771013412,1.0950202107012652,1.0852860753096782,0.9717214384553611
S057,Q4-moving,train,1.114017235706478,1.09299419989577,0.978291402046598,0.9606935054780172
