series,source_kind,source_row,time_s,time_h,temperature_C
observed,attachment1,2,0,0,28
observed,attachment1,3,60,0.016666666666666666,28.527999999999999
observed,attachment1,4,120,0.033333333333333333,29.192
observed,attachment1,5,180,0.050000000000000003,29.684000000000001
observed,attachment1,6,240,0.066666666666666666,30.036999999999999
observed,attachment1,7,300,0.083333333333333329,30.834
observed,attachment1,8,360,0.10000000000000001,31.292999999999999
observed,attachment1,9,420,0.11666666666666667,31.82
observed,attachment1,10,480,0.13333333333333333,32.121000000000002
observed,attachment1,11,540,0.14999999999999999,32.729999999999997
observed,attachment1,12,600,0.16666666666666666,33.201999999999998
observed,attachment1,13,660,0.18333333333333332,33.878999999999998
observed,attachment1,14,720,0.20000000000000001,34.268000000000001
observed,attachment1,15,780,0.21666666666666667,34.805999999999997
observed,attachment1,16,840,0.23333333333333334,35.142000000000003
observed,attachment1,17,900,0.25,35.524000000000001
observed,attachment1,18,960,0.26666666666666666,36.091000000000001
observed,attachment1,19,1020,0.28333333333333333,36.353999999999999
observed,attachment1,20,1080,0.29999999999999999,37.067
observed,attachment1,21,1140,0.31666666666666665,37.418999999999997
observed,attachment1,22,1200,0.33333333333333331,37.881999999999998
observed,attachment1,23,1260,0.34999999999999998,38.134
observed,attachment1,24,1320,0.36666666666666664,38.767000000000003
observed,attachment1,25,1380,0.38333333333333336,39.125
observed,attachment1,26,1440,0.40000000000000002,39.457999999999998
observed,attachment1,27,1500,0.41666666666666669,39.594999999999999
observed,attachment1,28,1560,0.43333333333333335,40.061
observed,attachment1,29,1620,0.45000000000000001,40.238
observed,attachment1,30,1680,0.46666666666666667,40.621000000000002
observed,attachment1,31,1740,0.48333333333333334,41.165999999999997
observed,attachment1,32,1800,0.5,41.512999999999998
observed,attachment1,33,1860,0.51666666666666672,41.917999999999999
observed,attachment1,34,1920,0.53333333333333333,41.951999999999998
observed,attachment1,35,1980,0.55000000000000004,42.262999999999998
observed,attachment1,36,2040,0.56666666666666665,42.588999999999999
observed,attachment1,37,2100,0.58333333333333337,42.744999999999997
observed,attachment1,38,2160,0.59999999999999998,42.984999999999999
observed,attachment1,39,2220,0.6166666666666667,43.393000000000001
observed,attachment1,40,2280,0.6333333333333333,43.533999999999999
observed,attachment1,41,2340,0.65000000000000002,43.969999999999999
observed,attachment1,42,2400,0.66666666666666663,44.101999999999997
observed,attachment1,43,2460,0.68333333333333335,44.503
observed,attachment1,44,2520,0.69999999999999996,44.662999999999997
observed,attachment1,45,2580,0.71666666666666667,44.701000000000001
observed,attachment1,46,2640,0.73333333333333328,45.137999999999998
observed,attachment1,47,2700,0.75,45.323
observed,attachment1,48,2760,0.76666666666666672,45.323999999999998
observed,attachment1,49,2820,0.78333333333333333,45.462000000000003
observed,attachment1,50,2880,0.80000000000000004,45.817999999999998
observed,attachment1,51,2940,0.81666666666666665,45.738999999999997
observed,attachment1,52,3000,0.83333333333333337,45.93
observed,attachment1,53,3060,0.84999999999999998,45.999000000000002
observed,attachment1,54,3120,0.8666666666666667,46.512
observed,attachment1,55,3180,0.8833333333333333,46.601999999999997
observed,attachment1,56,3240,0.90000000000000002,46.761000000000003
observed,attachment1,57,3300,0.91666666666666663,46.933
observed,attachment1,58,3360,0.93333333333333335,46.911999999999999
observed,attachment1,59,3420,0.94999999999999996,47.088999999999999
observed,attachment1,60,3480,0.96666666666666667,47.008000000000003
observed,attachment1,61,3540,0.98333333333333328,47.110999999999997
observed,attachment1,62,3600,1,47.484999999999999
observed,attachment1,63,3660,1.0166666666666666,47.497999999999998
observed,attachment1,64,3720,1.0333333333333334,47.646000000000001
observed,attachment1,65,3780,1.05,47.840000000000003
observed,attachment1,66,3840,1.0666666666666667,47.872999999999998
observed,attachment1,67,3900,1.0833333333333333,47.926000000000002
observed,attachment1,68,3960,1.1000000000000001,48.015999999999998
observed,attachment1,69,4020,1.1166666666666667,47.976999999999997
observed,attachment1,70,4080,1.1333333333333333,47.926000000000002
observed,attachment1,71,4140,1.1499999999999999,48.198999999999998
observed,attachment1,72,4200,1.1666666666666667,48.165999999999997
observed,attachment1,73,4260,1.1833333333333333,48.331000000000003
observed,attachment1,74,4320,1.2,48.615000000000002
observed,attachment1,75,4380,1.2166666666666666,48.380000000000003
observed,attachment1,76,4440,1.2333333333333334,48.356999999999999
observed,attachment1,77,4500,1.25,48.526000000000003
observed,attachment1,78,4560,1.2666666666666666,48.590000000000003
observed,attachment1,79,4620,1.2833333333333334,48.825000000000003
observed,attachment1,80,4680,1.3,48.826999999999998
observed,attachment1,81,4740,1.3166666666666667,48.988
observed,attachment1,82,4800,1.3333333333333333,48.978999999999999
observed,attachment1,83,4860,1.3500000000000001,48.899999999999999
observed,attachment1,84,4920,1.3666666666666667,49.143999999999998
observed,attachment1,85,4980,1.3833333333333333,48.869999999999997
observed,attachment1,86,5040,1.3999999999999999,48.840000000000003
observed,attachment1,87,5100,1.4166666666666667,48.912999999999997
observed,attachment1,88,5160,1.4333333333333333,49.261000000000003
observed,attachment1,89,5220,1.45,49.168999999999997
observed,attachment1,90,5280,1.4666666666666666,49.055999999999997
observed,attachment1,91,5340,1.4833333333333334,49.256999999999998
observed,attachment1,92,5400,1.5,49.116
observed,attachment1,93,5460,1.5166666666666666,49.414999999999999
observed,attachment1,94,5520,1.5333333333333334,49.320999999999998
observed,attachment1,95,5580,1.55,49.317
observed,attachment1,96,5640,1.5666666666666667,49.304000000000002
observed,attachment1,97,5700,1.5833333333333333,49.491999999999997
observed,attachment1,98,5760,1.6000000000000001,49.384
observed,attachment1,99,5820,1.6166666666666667,49.271999999999998
observed,attachment1,100,5880,1.6333333333333333,49.310000000000002
observed,attachment1,101,5940,1.6499999999999999,49.749000000000002
observed,attachment1,102,6000,1.6666666666666667,49.743000000000002
observed,attachment1,103,6060,1.6833333333333333,49.659999999999997
observed,attachment1,104,6120,1.7,49.463000000000001
