time_s,max_C,mean_C,center_C,surface_C
0,2.55,2.55,2.55,2.51818485612154
60,2.550000000000001,2.539011000323274,2.55,2.540252511258672
120,2.550000000000001,2.5288628917543496,2.5500000000000003,2.5116347171754736
180,2.550000000000001,2.5192739705051848,2.5499999999999994,2.4635772213683995
240,2.550000000000001,2.5101097156646146,2.5500000000000007,2.4010184530501912
300,2.5500000000000007,2.501264301876316,2.5500000000000003,2.328797165566008
360,2.5500000000000007,2.492690105439133,2.55,2.252184708566617
420,2.5500000000000007,2.4843434858320625,2.5500000000000003,2.174125668126975
480,2.5500000000000007,2.4762020834986744,2.5500000000000003,2.0968769440513384
540,2.5500000000000007,2.4682299383260315,2.5499999999999994,2.02116678413978
600,2.5500000000000007,2.4604097790860937,2.5500000000000003,1.9480157366411524
660,2.5500000000000007,2.452715873434826,2.55,1.8778201127340644
720,2.5500000000000007,2.445143762405003,2.5500000000000003,1.8109294294905036
780,2.5500000000000007,2.43767791615913,2.5500000000000007,1.747266460205241
840,2.5500000000000007,2.4303159415294884,2.55,1.686577473374891
900,2.550000000000001,2.423048631272996,2.5500000000000007,1.6287803808116683
960,2.550000000000001,2.4158605001487685,2.5500000000000007,1.5742142989336665
1020,2.550000000000001,2.4087551681446357,2.5500000000000003,1.5221130143010102
1080,2.550000000000001,2.40171294738808,2.5500000000000007,1.4736812443717882
1140,2.5500000000000007,2.394736223705489,2.5499999999999994,1.4275316866176586
1200,2.550000000000001,2.3878197796523044,2.550000000000001,1.384042789159073
1260,2.55,2.380964868030799,2.5499999999999994,1.3419385752827242
1320,2.549999999999998,2.3741568839409464,2.5499999999999954,1.303754294632426
1380,2.54999999999999,2.3673998872921658,2.5499999999999887,1.8586765043095552
1440,2.54999999999997,2.36069079924464,2.54999999999997,1.8209677497893584
1500,2.5499999999999194,2.354035743230143,2.5499999999999194,1.7844894626240808
1560,2.549999999999796,2.34742344323282,2.549999999999796,1.7490112640283997
1620,2.549999999999503,2.3408590923658603,2.549999999999503,1.7147611745286024
1680,2.5499999999988385,2.3343357937114533,2.5499999999988385,1.6816150839119357
1740,2.549999999997348,2.327845094551797,2.549999999997348,1.6495760501855654
1800,2.5499999999941414,2.3213890392257275,2.5499999999941414,1.6187918682439264
1860,2.549999999987417,2.314964469660936,2.549999999987417,1.5892862244991597
1920,2.5499999999740672,2.3085822291400824,2.5499999999740672,1.5609802560449286
1980,2.5499999999480023,2.302235517874849,2.5499999999480023,1.5336436550992838
2040,2.5499999998983696,2.295920952332622,2.5499999998983696,1.5073336196770806
2100,2.5499999998071843,2.2896423995461426,2.5499999998071843,1.4819748507504928
2160,2.549999999643254,2.283398111451221,2.549999999643254,1.4574782763560905
2220,2.5499999993522304,2.2771820964766496,2.5499999993522304,1.4339167596991047
2280,2.54999999885359,2.2709987135846093,2.54999999885359,1.4111670300013763
2340,2.5499999980036194,2.2648385885083284,2.5499999980036194,1.389327984241108
2400,2.549999996604162,2.258709186181191,2.549999996604162,1.3681401921390928
2460,2.5499999943124427,2.252603501454276,2.5499999943124427,1.3477721619633851
2520,2.5499999906684168,2.246525659694273,2.5499999906684168,1.3279767564799925
2580,2.5499999850228723,2.2404804186834104,2.5499999850228723,1.308443677708109
2640,2.54999997625256,2.2344568509751586,2.54999997625256,1.2897058610234031
2700,2.549999962981777,2.228457833337754,2.549999962981777,1.2714493270049103
2760,2.549999943414376,2.222490127519045,2.549999943414376,1.2532278170972018
2820,2.54999991485524,2.21655122471826,2.54999991485524,1.235248807434898
2880,2.549999873294285,2.2106332589440543,2.549999873294285,1.2180204431774362
2940,2.5499998148179723,2.204747551799062,2.5499998148179723,1.200518743912455
3000,2.5499997327083346,2.198886230950044,2.5499997327083346,1.1833624556659574
3060,2.549999619460585,2.1930544376265293,2.549999619460585,1.1662626426141909
3120,2.5499994617084223,2.187236669343095,2.5499994617084223,1.1504772011510989
3180,2.5499992480444225,2.181442694576573,2.5499992480444225,1.1344661556091162
3240,2.549998960960977,2.1756702922274225,2.549998960960977,1.1185263099521476
3300,2.549998578860777,2.1699187437381147,2.549998578860777,1.1027256151719045
3360,2.5499980797833754,2.1641918730409984,2.5499980797833754,1.0862498738840156
3420,2.5499974288045677,2.1584861717594244,2.5499974288045677,1.0702189386949332
3480,2.549996597066066,2.152806605819109,2.549996597066066,1.4480017258216709
3540,2.549995536094486,2.1471506116781263,2.549995536094486,1.4305983118062613
3600,2.549994176544019,2.141508266246757,2.549994176544019,1.413183676693039
3660,2.549992472768566,2.135887549588778,2.549992472768566,1.3958160026188249
3720,2.549990342039019,2.130285205907154,2.549990342039019,1.3785327108436576
3780,2.549987689956231,2.124699897182412,2.549987689956231,1.361338477480278
3840,2.5499844332742883,2.119132817139199,2.5499844332742883,1.3442283684009673
3900,2.549980458974249,2.1135847997099235,2.549980458974249,1.3271867736244527
3960,2.5499756330612406,2.108055695264386,2.5499756330612406,1.3101948565462267
4020,2.5499698419231374,2.102546732506523,2.5499698419231374,1.293227509700508
4080,2.5499629421571925,2.097059712454492,2.5499629421571925,1.2762526972137291
4140,2.5499546568096085,2.0915881835326244,2.5499546568096085,1.2593825105228704
4200,2.5499448804333693,2.08613578475297,2.5499448804333693,1.242596426515562
4260,2.5499333124745114,2.080698416701168,2.5499333124745114,1.2259415947608994
4320,2.549919615180285,2.075272489812773,2.549919615180285,1.2095573307042635
